Date,Open,High,Low,Close,Adj Close,Volume
2020-08-13,4.39854,4.40247,4.3902,4.398,4.398,0.0
2020-08-14,4.3972,4.40303,4.3876,4.39705,4.39705,0.0
2020-08-17,4.39731,4.40052,4.3791,4.3952,4.3952,0.0
2020-08-18,4.39514,4.4007,4.376,4.39567,4.39567,0.0
2020-08-19,4.3735,4.41106,4.3699,4.37592,4.37592,0.0
2020-08-20,4.39751,4.40459,4.3758,4.39892,4.39892,0.0
2020-08-21,4.3797,4.41137,4.3738,4.3778,4.3778,0.0
2020-08-24,4.40832,4.41566,4.3853,4.4083,4.4083,0.0
2020-08-25,4.38978,4.39955,4.3813,4.39141,4.39141,0.0
2020-08-26,4.39005,4.42263,4.38938,4.39604,4.39604,0.0
2020-08-27,4.41033,4.42001,4.39499,4.40941,4.40941,0.0
2020-08-28,4.40834,4.40938,4.3784,4.4061,4.4061,0.0
2020-08-31,4.38502,4.40161,4.381,4.3825,4.3825,0.0
2020-09-01,4.3918,4.39773,4.3823,4.39565,4.39565,0.0
2020-09-02,4.38669,4.41999,4.381,4.38629,4.38629,0.0
2020-09-03,4.4067,4.44111,4.4055,4.40919,4.40919,0.0
2020-09-04,4.43045,4.469,4.42936,4.4346,4.4346,0.0
2020-09-07,4.45524,4.46342,4.4303,4.4557,4.4557,0.0
2020-09-08,4.43226,4.45611,4.4279,4.4297,4.4297,0.0
2020-09-09,4.4498,4.45957,4.4343,4.4462,4.4462,0.0
2020-09-10,4.4351,4.45948,4.4349,4.4353,4.4353,0.0
2020-09-11,4.45029,4.45571,4.44,4.4505,4.4505,0.0
2020-09-14,4.44717,4.45242,4.4353,4.4439,4.4439,0.0
2020-09-15,4.44354,4.45516,4.4332,4.4416,4.4416,0.0
2020-09-16,4.4502,4.45513,4.4387,4.4505,4.4505,0.0
2020-09-17,4.4462,4.45991,4.4438,4.4451,4.4451,0.0
2020-09-18,4.45055,4.45956,4.4443,4.45077,4.45077,0.0
2020-09-21,4.4505,4.49958,4.43782,4.4501,4.4501,0.0
2020-09-22,4.49015,4.5135,4.4772,4.49025,4.49025,0.0
2020-09-23,4.48098,4.51413,4.4777,4.48241,4.48241,0.0
2020-09-24,4.50577,4.56154,4.50312,4.51134,4.51134,0.0
2020-09-25,4.5507,4.56057,4.5399,4.54678,4.54678,0.0
2020-09-28,4.55343,4.58424,4.5379,4.5509,4.5509,0.0
2020-09-29,4.58006,4.59598,4.51342,4.58541,4.58541,0.0
2020-09-30,4.5245,4.54665,4.5174,4.52731,4.52731,0.0
2020-10-01,4.53004,4.53015,4.471,4.53,4.53,0.0
2020-10-02,4.47905,4.50716,4.4741,4.4764,4.4764,0.0
2020-10-05,4.49068,4.5037,4.478,4.49072,4.49072,0.0
2020-10-06,4.4924,4.49945,4.4731,4.49227,4.49227,0.0
2020-10-07,4.48733,4.48946,4.4698,4.48719,4.48719,0.0
2020-10-08,4.47891,4.48991,4.4712,4.4786,4.4786,0.0
2020-10-09,4.48338,4.48903,4.4569,4.4821,4.4821,0.0
2020-10-12,4.4627,4.48893,4.46244,4.4627,4.4627,0.0
2020-10-13,4.45502,4.49638,4.4513,4.45469,4.45469,0.0
2020-10-14,4.49018,4.51589,4.4812,4.49132,4.49132,0.0
